Date,Attention Score
2021-07-29 22:00:00,-0.125
2021-07-30 22:00:00,0.0
2021-07-31 22:00:00,2.411573389
2021-08-01 22:00:00,2.411573389
2021-08-02 22:00:00,2.5830019604
2021-08-03 22:00:00,0.1353829128
2021-08-04 22:00:00,2.3233528376
2021-08-05 22:00:00,2.2381880025
2021-08-06 22:00:00,2.1999104905
2021-08-07 22:00:00,2.240726817
2021-08-08 22:00:00,2.346849266
2021-08-09 22:00:00,2.1520440712
2021-08-10 22:00:00,2.1690508739
2021-08-11 22:00:00,0.0391807441
2021-08-12 22:00:00,0.2891807441
2021-08-13 22:00:00,0.2782158318
2021-08-14 22:00:00,0.3598484848
2021-08-15 22:00:00,-0.050170068
2021-08-16 22:00:00,-0.0934601113
2021-08-17 22:00:00,-0.0628478664
2021-08-18 22:00:00,-0.0758348794
2021-08-19 22:00:00,0.7813079777
2021-08-20 22:00:00,0.7753555968
2021-08-21 22:00:00,0.6222943723
2021-08-22 22:00:00,0.7261904762
2021-08-23 22:00:00,0.8214285714
2021-08-24 22:00:00,0.8214285714
2021-08-25 22:00:00,0.8214285714
2021-08-26 22:00:00,-0.1785714286
2021-08-27 22:00:00,-0.0714285714
2021-08-28 22:00:00,0.0
2021-08-29 22:00:00,2.5714285714
2021-08-30 22:00:00,2.4962406015
2021-08-31 22:00:00,2.5438596491
2021-09-01 22:00:00,2.5438596491
2021-09-02 22:00:00,2.555764411
2021-09-03 22:00:00,2.4568633121
2021-09-04 22:00:00,2.5282918836
2021-09-05 22:00:00,-0.1383747831
2021-09-06 22:00:00,0.5082417582
2021-09-07 22:00:00,0.5177655678
2021-09-08 22:00:00,0.4361329147
2021-09-09 22:00:00,0.4956567242
2021-09-10 22:00:00,0.5151927438
2021-09-11 22:00:00,0.4080498866
2021-09-12 22:00:00,1.0747165533
2021-09-13 22:00:00,0.5509070295
2021-09-14 22:00:00,0.4366213152
2021-09-15 22:00:00,0.5063492063
2021-09-16 22:00:00,0.4219336219
2021-09-17 22:00:00,0.387012987
2021-09-18 22:00:00,0.7084415584
2021-09-19 22:00:00,0.2084415584
2021-09-20 22:00:00,0.1449494949
2021-09-21 22:00:00,0.2020923521
2021-09-22 22:00:00,0.2854256854
2021-09-23 22:00:00,0.3222222222
2021-09-24 22:00:00,0.3650793651
2021-09-25 22:00:00,0.1609977324
2021-09-26 22:00:00,0.2584003298
2021-09-27 22:00:00,0.2207019171
2021-09-28 22:00:00,0.2207019171
2021-09-29 22:00:00,0.1302257267
2021-09-30 22:00:00,0.0514711479
2021-10-01 22:00:00,0.0514711479
2021-10-02 22:00:00,0.0055527806
2021-10-03 22:00:00,-0.0204212454
